tid,vid,tname,vname,otid,ovid,otname,ovname
68000010,001,桃園市桃園區,文化里,10003010,001,桃園縣桃園市,文化里
68000010,002,桃園市桃園區,文明里,10003010,002,桃園縣桃園市,文明里
68000010,003,桃園市桃園區,武陵里,10003010,003,桃園縣桃園市,武陵里
68000010,004,桃園市桃園區,大林里,10003010,004,桃園縣桃園市,大林里
68000010,005,桃園市桃園區,忠義里,10003010,005,桃園縣桃園市,忠義里
68000010,006,桃園市桃園區,會稽里,10003010,006,桃園縣桃園市,會稽里
68000010,007,桃園市桃園區,長美里,10003010,007,桃園縣桃園市,長美里
68000010,008,桃園市桃園區,民生里,10003010,008,桃園縣桃園市,民生里
68000010,009,桃園市桃園區,永興里,10003010,009,桃園縣桃園市,永興里
68000010,010,桃園市桃園區,汴洲里,10003010,010,桃園縣桃園市,汴洲里
68000010,011,桃園市桃園區,永安里,10003010,011,桃園縣桃園市,永安里
68000010,012,桃園市桃園區,東埔里,10003010,012,桃園縣桃園市,東埔里
68000010,013,桃園市桃園區,東門里,10003010,013,桃園縣桃園市,東門里
68000010,014,桃園市桃園區,東山里,10003010,014,桃園縣桃園市,東山里
68000010,015,桃園市桃園區,萬壽里,10003010,015,桃園縣桃園市,萬壽里
68000010,016,桃園市桃園區,長安里,10003010,016,桃園縣桃園市,長安里
68000010,017,桃園市桃園區,中埔里,10003010,017,桃園縣桃園市,中埔里
68000010,018,桃園市桃園區,西埔里,10003010,018,桃園縣桃園市,西埔里
68000010,019,桃園市桃園區,西門里,10003010,019,桃園縣桃園市,西門里
68000010,020,桃園市桃園區,中和里,10003010,020,桃園縣桃園市,中和里
68000010,021,桃園市桃園區,文昌里,10003010,021,桃園縣桃園市,文昌里
68000010,022,桃園市桃園區,新埔里,10003010,022,桃園縣桃園市,新埔里
68000010,023,桃園市桃園區,中山里,10003010,023,桃園縣桃園市,中山里
68000010,024,桃園市桃園區,慈文里,10003010,024,桃園縣桃園市,慈文里
68000010,025,桃園市桃園區,西湖里,10003010,025,桃園縣桃園市,西湖里
68000010,026,桃園市桃園區,南門里,10003010,026,桃園縣桃園市,南門里
68000010,027,桃園市桃園區,南華里,10003010,027,桃園縣桃園市,南華里
68000010,028,桃園市桃園區,玉山里,10003010,028,桃園縣桃園市,玉山里
68000010,029,桃園市桃園區,中成里,10003010,029,桃園縣桃園市,中成里
68000010,030,桃園市桃園區,中正里,10003010,030,桃園縣桃園市,中正里
68000010,031,桃園市桃園區,北門里,10003010,031,桃園縣桃園市,北門里
68000010,032,桃園市桃園區,雲林里,10003010,032,桃園縣桃園市,雲林里
68000010,033,桃園市桃園區,福林里,10003010,033,桃園縣桃園市,福林里
68000010,034,桃園市桃園區,光興里,10003010,034,桃園縣桃園市,光興里
68000010,035,桃園市桃園區,龍山里,10003010,035,桃園縣桃園市,龍山里
68000010,036,桃園市桃園區,龍岡里,10003010,036,桃園縣桃園市,龍岡里
68000010,037,桃園市桃園區,成功里,10003010,037,桃園縣桃園市,成功里
68000010,038,桃園市桃園區,青溪里,10003010,038,桃園縣桃園市,青溪里
68000010,039,桃園市桃園區,朝陽里,10003010,039,桃園縣桃園市,朝陽里
68000010,040,桃園市桃園區,中興里,10003010,040,桃園縣桃園市,中興里
68000010,041,桃園市桃園區,豐林里,10003010,041,桃園縣桃園市,豐林里
68000010,042,桃園市桃園區,建國里,10003010,042,桃園縣桃園市,建國里
68000010,043,桃園市桃園區,大豐里,10003010,043,桃園縣桃園市,大豐里
68000010,044,桃園市桃園區,福安里,10003010,044,桃園縣桃園市,福安里
68000010,045,桃園市桃園區,三民里,10003010,045,桃園縣桃園市,三民里
68000010,046,桃園市桃園區,大興里,10003010,046,桃園縣桃園市,大興里
68000010,047,桃園市桃園區,春日里,10003010,047,桃園縣桃園市,春日里
68000010,048,桃園市桃園區,信光里,10003010,048,桃園縣桃園市,信光里
68000010,049,桃園市桃園區,中寧里,10003010,049,桃園縣桃園市,中寧里
68000010,050,桃園市桃園區,同安里,10003010,050,桃園縣桃園市,同安里
68000010,051,桃園市桃園區,莊敬里,10003010,051,桃園縣桃園市,莊敬里
68000010,052,桃園市桃園區,文中里,10003010,052,桃園縣桃園市,文中里
68000010,053,桃園市桃園區,泰山里,10003010,053,桃園縣桃園市,泰山里
68000010,054,桃園市桃園區,中路里,10003010,054,桃園縣桃園市,中路里
68000010,055,桃園市桃園區,中德里,10003010,055,桃園縣桃園市,中德里
68000010,056,桃園市桃園區,龍祥里,10003010,056,桃園縣桃園市,龍祥里
68000010,057,桃園市桃園區,大有里,10003010,057,桃園縣桃園市,大有里
68000010,058,桃園市桃園區,寶山里,10003010,058,桃園縣桃園市,寶山里
68000010,059,桃園市桃園區,龍鳳里,10003010,059,桃園縣桃園市,龍鳳里
68000010,060,桃園市桃園區,龍安里,10003010,060,桃園縣桃園市,龍安里
68000010,061,桃園市桃園區,自強里,10003010,061,桃園縣桃園市,自強里
68000010,062,桃園市桃園區,中信里,10003010,062,桃園縣桃園市,中信里
68000010,063,桃園市桃園區,長德里,10003010,063,桃園縣桃園市,長德里
68000010,064,桃園市桃園區,中平里,10003010,064,桃園縣桃園市,中平里
68000010,065,桃園市桃園區,中原里,10003010,065,桃園縣桃園市,中原里
68000010,066,桃園市桃園區,中泰里,10003010,066,桃園縣桃園市,中泰里
68000010,067,桃園市桃園區,南埔里,10003010,067,桃園縣桃園市,南埔里
68000010,068,桃園市桃園區,寶慶里,10003010,068,桃園縣桃園市,寶慶里
68000010,069,桃園市桃園區,北埔里,10003010,069,桃園縣桃園市,北埔里
68000010,070,桃園市桃園區,中聖里,10003010,070,桃園縣桃園市,中聖里
68000010,071,桃園市桃園區,龍壽里,10003010,071,桃園縣桃園市,龍壽里
68000010,072,桃園市桃園區,同德里,10003010,072,桃園縣桃園市,同德里
68000010,073,桃園市桃園區,明德里,10003010,073,桃園縣桃園市,明德里
68000010,074,桃園市桃園區,寶安里,10003010,074,桃園縣桃園市,寶安里
68000010,075,桃園市桃園區,瑞慶里,10003010,075,桃園縣桃園市,瑞慶里
68000010,076,桃園市桃園區,三元里,10003010,076,桃園縣桃園市,三元里
68000020,001,桃園市中壢區,龍平里,10003020,001,桃園縣中壢市,龍平里
68000020,002,桃園市中壢區,龍昌里,10003020,002,桃園縣中壢市,龍昌里
68000020,003,桃園市中壢區,仁德里,10003020,003,桃園縣中壢市,仁德里
68000020,004,桃園市中壢區,永興里,10003020,004,桃園縣中壢市,永興里
68000020,005,桃園市中壢區,內壢里,10003020,005,桃園縣中壢市,內壢里
68000020,006,桃園市中壢區,成功里,10003020,006,桃園縣中壢市,成功里
